condition_id,family,level,alpha_scale,beta_scale,sigma_scale,r,dose,node,final_mean,final_sd,final_se,final_cv,auc_mean,auc_sd,auc_se,auc_cv
beta_1p50,beta,1.5,1.0,1.5,1.0,0.75,100.0,TNFa,0.2618222093625,0.16737464689612025,0.011835174781895056,0.6392683313751488,127.37701615,81.78979593099452,5.783411933467011,0.6421079595292004
beta_1p50,beta,1.5,1.0,1.5,1.0,0.75,100.0,p100,0.07030095271125,0.07668273375596389,0.005422288103876464,1.0907780164932621,34.603039496250005,37.64507134176815,2.6619085224015624,1.087912272731065
beta_1p50,beta,1.5,1.0,1.5,1.0,0.75,100.0,Phenotype_canonical,0.432771194675,0.20644911280381698,0.014598156763352547,0.47703986620194283,206.99474195,100.81679272311317,7.128823779199189,0.487050017664051
beta_1p50,beta,1.5,1.0,1.5,1.0,0.75,100.0,NIK,0.3016038054625,0.16661725622051674,0.011781619173622384,0.5524375130645796,149.9219168125,82.80598002666673,5.8552669999653855,0.5523273833953718
beta_1p50,beta,1.5,1.0,1.5,1.0,0.75,100.0,IKKa_noncanonical,0.194307543625,0.13220426849614375,0.00934825347554303,0.6803867005353573,96.2662165175,65.37907075764707,4.622998428040735,0.6791486476022662
beta_1p50,beta,1.5,1.0,1.5,1.0,0.75,100.0,p100_RelB,0.17177048661250002,0.09478266112421693,0.006702146241984034,0.5517982919733979,84.76314518625,46.704427963880676,3.3025017724698644,0.5509992327592029
beta_1p50,beta,1.5,1.0,1.5,1.0,0.75,100.0,p52,0.137457628775,0.11480111219557705,0.00811766449212502,0.8351745422837995,67.45735368875,56.27979990129807,3.9795828154029853,0.8343019229745439
beta_1p50,beta,1.5,1.0,1.5,1.0,0.75,100.0,BAFF,0.41096326699999997,0.1854868318340624,0.013115899661067429,0.45134649913629,199.9959114375,91.38986048714663,6.4622390082153895,0.4569586439556118
beta_1p50,beta,1.5,1.0,1.5,1.0,0.75,100.0,Phenotype_noncanonical,0.5284513115625,0.20168506077328333,0.014261287413680959,0.3816530612384146,253.1474124625,98.98498135746667,6.999295155348866,0.3910171563461262
sigma_0p00,sigma,0.0,1.0,1.0,0.0,0.75,0.0,TNFR,1.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0
sigma_0p00,sigma,0.0,1.0,1.0,0.0,0.75,0.0,IL1R,1.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0
sigma_0p00,sigma,0.0,1.0,1.0,0.0,0.75,0.0,CD40,1.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0
sigma_0p00,sigma,0.0,1.0,1.0,0.0,0.75,0.0,LTB,1.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0
